source_id,city,sub_market,locality,property_type,bhk,area_sqft,floor,total_floors,furnishing,facing,bathroom,has_parking,has_lift,has_clubhouse,has_pool,has_gym,has_security,has_power_backup,rera_approved,possession_status,listed_price,project_name,developer,age_years,age_years_is_estimated,total_floors_is_estimated,floor_is_estimated
12571,Mumbai,Thane,Kalyan West,Apartment,1,695.0,18.0,22.0,Furnished,Unknown,2.0,False,False,False,False,False,False,False,False,Ready to Move,5600000.0,Yogi Dham Phase III,Individual Seller (Not Builder-Listed),3,True,False,False
12570,Mumbai,Thane,Kalyan West,Apartment,2,1010.0,2.0,8.0,Unfurnished,Unknown,2.0,False,True,False,False,True,True,False,False,Ready to Move,7200000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12569,Mumbai,Thane,Kalyan West,Apartment,1,490.0,3.0,5.0,Semi-Furnished,Unknown,1.0,False,False,False,False,False,False,False,False,Ready to Move,4000000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12568,Mumbai,Thane,Kalyan West,Apartment,1,577.0,15.0,15.0,Semi-Furnished,Unknown,1.0,False,False,False,False,False,False,False,False,Ready to Move,3700000.0,Raunak City 2,Raunak Group,3,True,False,False
12567,Mumbai,Thane,Kalyan West,Apartment,1,580.0,4.0,7.0,Semi-Furnished,Unknown,1.0,False,False,False,False,False,False,False,False,Ready to Move,3500000.0,Raunak City 3,Raunak Group,3,True,False,False
12566,Mumbai,Thane,Kalyan West,Apartment,1,506.0,20.0,20.0,Unfurnished,Unknown,1.0,False,False,False,False,False,False,False,False,Ready to Move,4350000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12565,Mumbai,Thane,Kalyan West,Apartment,1,385.0,4.0,4.0,Unfurnished,Unknown,1.0,False,False,False,False,False,False,False,False,Ready to Move,2400000.0,Vrundavan,Shree Vasturachna Developers,3,True,False,False
12564,Mumbai,Thane,Kalyan West,Apartment,1,475.0,3.0,4.0,Semi-Furnished,South - East,1.0,False,False,False,False,True,True,False,False,Ready to Move,4000000.0,Krishna Regency,Konkanbhoomi Developers,3,True,False,False
12563,Mumbai,Thane,Kalyan West,Apartment,2,700.0,3.0,3.0,Semi-Furnished,Unknown,1.0,False,False,False,False,False,False,False,False,Ready to Move,6300000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12562,Mumbai,Thane,Kalyan West,Apartment,2,990.0,12.0,13.0,Semi-Furnished,Unknown,2.0,True,True,True,True,True,True,True,False,Ready to Move,7500000.0,Charms Heritage,Charms Group,3,True,False,False
12561,Mumbai,Thane,Kalyan West,Apartment,1,500.0,6.0,8.0,Semi-Furnished,Unknown,1.0,True,True,False,False,False,True,False,False,Ready to Move,3300000.0,Vidhi Complex,Vidhi Developers,3,True,False,False
12560,Mumbai,Thane,Kalyan West,Apartment,1,461.0,3.0,22.0,Unfurnished,Unknown,1.0,False,True,False,True,True,True,False,False,Under Construction,6800000.0,Godrej Nirvaan,Godrej Properties,0,True,False,False
12559,Mumbai,Thane,Kalyan West,Apartment,2,927.0,8.0,33.0,Unfurnished,Unknown,1.0,False,True,True,True,True,True,True,False,Ready to Move,5500000.0,Tata Amantra,TATA Housing Development Company Ltd.,3,True,False,False
12558,Mumbai,Thane,Kalyan West,Apartment,1,600.0,4.0,14.0,Unfurnished,Unknown,1.0,True,True,True,True,True,True,True,False,Ready to Move,5500000.0,Rosalie,Tharwani Infrastructures,3,True,False,False
12557,Mumbai,Thane,Kalyan West,Apartment,1,430.0,0.0,5.0,Unfurnished,East,1.0,False,True,True,True,True,True,True,False,Ready to Move,2700000.0,Vrundavan,Shree Vasturachna Developers,3,True,False,False
12556,Mumbai,Thane,Kalyan West,Apartment,2,855.0,1.0,3.0,Furnished,West,2.0,False,False,True,True,True,True,False,False,Ready to Move,4500000.0,Haware Pinnacle,Haware Engineers & Builders Pvt Ltd,3,True,False,False
